"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","001","90001","MR","11:30 AM - 12:50 PM","CKB 124","Open","43","41","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90001",""
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","003","90002","MR","10:00 AM - 11:20 AM","KUPF 104","Open","43","42","Ma, Yue","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90002",""
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","005","90003","MR","2:30 PM - 3:50 PM","KUPF 104","Closed","43","43","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90003",""
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","007","90004","TR","11:30 AM - 12:50 PM","KUPF 108","Closed","43","43","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90004",""
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","101","90005","W","6:00 PM - 8:50 PM","KUPF 105","Open","43","31","Nwachuku, Adaeze","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90005",""
"202590","ACCT115","FUND OF FINANCIAL ACCOUNTING","103","90006","R","6:00 PM - 8:50 PM","CKB 124","Open","43","31","Beerbower, Karen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90006",""
"202590","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","001","90007","WF","1:00 PM - 2:20 PM","KUPF 208","Open","43","25","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90007",""
"202590","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","003","90008","WF","10:00 AM - 11:20 AM","KUPF 107","Open","43","28","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90008",""
"202590","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","101","90009","M","6:00 PM - 8:50 PM","KUPF 105","Open","43","35","Beerbower, Karen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90009",""
"202590","ACCT215","MANAGERIAL ACCOUNTING I","001","90010","TR","8:30 AM - 9:50 AM","KUPF 207","Open","43","40","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90010",""
"202590","ACCT215","MANAGERIAL ACCOUNTING I","003","90011","TR","4:00 PM - 5:20 PM","KUPF 108","Open","43","39","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90011",""
