"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","AD150","COLOR AND COMPOSITION","001","90021","M","1:00 PM - 3:05 PM","WEST LECT 2","Open","17","16","Short, Martin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90021",""
"202590","AD150","COLOR AND COMPOSITION","001","90021","M","3:15 PM - 5:20 PM","CAMP 236G","Open","17","16","Short, Martin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90021",""
"202590","AD150","COLOR AND COMPOSITION","003","90022","M","1:00 PM - 3:05 PM","WEST LECT 2","Open","17","16","Nelson, Monica","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90022",""
"202590","AD150","COLOR AND COMPOSITION","003","90022","M","3:15 PM - 5:20 PM","CAMP 236D","Open","17","16","Nelson, Monica","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90022",""
"202590","AD150","COLOR AND COMPOSITION","005","90023","W","10:45 AM - 12:50 PM","CAMP 236C","Closed","17","17","Sobers, Sophia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90023",""
"202590","AD150","COLOR AND COMPOSITION","005","90023","W","8:30 AM - 10:35 AM","WEST LECT 2","Closed","17","17","Sobers, Sophia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90023",""
"202590","AD150","COLOR AND COMPOSITION","007","90024","W","10:45 AM - 12:50 PM","CAMP 236D","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90024",""
"202590","AD150","COLOR AND COMPOSITION","007","90024","W","8:30 AM - 10:35 AM","WEST LECT 2","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90024",""
"202590","AD150","COLOR AND COMPOSITION","009","90025","W","10:45 AM - 12:50 PM","CAMP 236D","Open","17","11","Carlson, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90025",""
"202590","AD150","COLOR AND COMPOSITION","009","90025","W","8:30 AM - 10:35 AM","WEST LECT 2","Open","17","11","Carlson, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90025",""
