"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ARCH110","TOOLS AND TECHNIQUES I","001","90045","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90045",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","001","90045","W","8:30 AM - 9:50 AM","CKB 220","Closed","15","15","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90045",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","003","90046","T","8:30 AM - 9:50 AM","WEST LECT 2","Closed","15","15","Shah, Mansi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90046",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","003","90046","W","10:00 AM - 11:20 AM","GITC 2315A","Closed","15","15","Shah, Mansi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90046",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","005","90047","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Pires, Samantha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90047",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","005","90047","W","8:30 AM - 9:50 AM","CKB 126","Closed","15","15","Pires, Samantha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90047",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","007","90048","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Santiago, Etien","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90048",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","007","90048","W","10:00 AM - 11:20 AM","CKB 220","Closed","15","15","Santiago, Etien","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90048",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","009","90049","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90049",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","009","90049","W","8:30 AM - 9:50 AM","CKB 214","Closed","15","15","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90049",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","011","90050","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90050",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","011","90050","W","10:00 AM - 11:20 AM","CKB 214","Closed","15","15","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90050",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","013","90051","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Firestone, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90051",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","013","90051","W","8:30 AM - 9:50 AM","CKB 207","Closed","15","15","Firestone, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90051",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","015","90052","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Firestone, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90052",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","015","90052","W","10:00 AM - 11:20 AM","CKB 310","Closed","15","15","Firestone, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90052",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","017","90053","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Pokhrel, Biplav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90053",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","017","90053","W","8:30 AM - 9:50 AM","CKB 212","Closed","15","15","Pokhrel, Biplav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90053",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","019","90054","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Pires, Samantha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90054",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","019","90054","W","10:00 AM - 11:20 AM","FMH 314","Closed","15","15","Pires, Samantha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90054",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","021","90055","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Shah, Mansi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90055",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","021","90055","W","8:30 AM - 9:50 AM","GITC 2315A","Closed","15","15","Shah, Mansi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90055",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","023","90056","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Gamal-Eldin, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90056",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","023","90056","W","8:30 AM - 9:50 AM","FMH 205","Closed","15","15","Gamal-Eldin, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90056",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","025","90057","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","15","Gamal-Eldin, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90057",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","025","90057","W","10:00 AM - 11:20 AM","FMH 205","Closed","15","15","Gamal-Eldin, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90057",""
"202590","ARCH110","TOOLS AND TECHNIQUES I","027","90058","T","8:30 AM - 9:50 AM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90058","Cancelled 08/20/25"
"202590","ARCH110","TOOLS AND TECHNIQUES I","027","90058","W","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90058","Cancelled 08/20/25"
"202590","ARCH110","TOOLS AND TECHNIQUES I - HONORS","H01","90059","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","15","16","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90059","Honors Course"
"202590","ARCH110","TOOLS AND TECHNIQUES I - HONORS","H01","90059","W","10:00 AM - 11:20 AM","CKB 207","Closed","15","16","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90059","Honors Course"
"202590","ARCH195","ARCHITECTURE STUDIO I","001","90060","MR","1:00 PM - 5:20 PM","WEST LECT 1","Open","20","0","Ogorzalek, Thomas","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90060",""
"202590","ARCH195","ARCHITECTURE STUDIO I","003","90061","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Ogorzalek, Thomas","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90061",""
"202590","ARCH195","ARCHITECTURE STUDIO I","005","90062","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Coleman, James","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90062",""
"202590","ARCH195","ARCHITECTURE STUDIO I","007","90063","MR","1:00 PM - 5:20 PM"," ","Closed","0","13","Arvelo Nieves, Ruperto","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90063",""
"202590","ARCH195","ARCHITECTURE STUDIO I","009","90064","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Patel, Shixa","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90064",""
"202590","ARCH195","ARCHITECTURE STUDIO I","011","90065","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Parikh, Darshan","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90065",""
"202590","ARCH195","ARCHITECTURE STUDIO I","013","90066","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Quintero Morales, Moises","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90066",""
"202590","ARCH195","ARCHITECTURE STUDIO I","015","90067","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Salomon Betech, Arie","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90067",""
"202590","ARCH195","ARCHITECTURE STUDIO I","017","90068","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Ferraro, Matteo","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90068",""
"202590","ARCH195","ARCHITECTURE STUDIO I","019","90069","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Hoxha, Elvira","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90069",""
"202590","ARCH195","ARCHITECTURE STUDIO I","021","90070","MR","1:00 PM - 5:20 PM"," ","Closed","0","13","Rosano, Pietro","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90070",""
"202590","ARCH195","ARCHITECTURE STUDIO I","023","90071","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Ikharo, Deen","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90071",""
"202590","ARCH195","ARCHITECTURE STUDIO I","025","90072","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Couch, Austin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90072",""
"202590","ARCH195","ARCHITECTURE STUDIO I","027","90073","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Gonzalez Escamilla, Norma","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90073",""
"202590","ARCH195","ARCHITECTURE STUDIO I","029","90074","MR","1:00 PM - 5:20 PM"," ","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90074",""
"202590","ARCH195","ARCHITECTURE STUDIO I - HONORS","H01","90075","MR","1:00 PM - 5:20 PM"," ","Closed","15","16","Mergold, Aleksandr","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90075","Honors Course"
"202590","ARCH210","HISTORY OF ARCHITECTURE I","001","90076","MW","11:30 AM - 12:50 PM","WEST LECT 1","Closed","155","155","Santiago, Etien","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90076",""
"202590","ARCH210","HISTORY OF ARCHITECTURE I - HONORS","HM1","90077","MW","11:30 AM - 12:50 PM","WEST LECT 1","Open","15","13","Santiago, Etien","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90077","Honors Course"
"202590","ARCH223","CONSTRUCTION I","001","90078","R","8:30 AM - 9:50 AM","CULM LECT 3","Closed","84","84","Bess, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90078","Hybrid Course"
"202590","ARCH223","CONSTRUCTION I","001","90078","","TBA"," ","Closed","84","84","Bess, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90078","Hybrid Course"
"202590","ARCH223","CONSTRUCTION I","003","90079","R","10:00 AM - 11:20 AM","CULM LECT 3","Closed","84","84","Bess, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90079","Hybrid Course"
"202590","ARCH223","CONSTRUCTION I","003","90079","","TBA"," ","Closed","84","84","Bess, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90079","Hybrid Course"
"202590","ARCH295","ARCHITECTURE STUDIO III","001","90080","MR","1:00 PM - 5:20 PM"," ","Open","5","0","Pediredla, Sampath","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90080",""
"202590","ARCH295","ARCHITECTURE STUDIO III","003","90081","MR","1:00 PM - 5:20 PM"," ","Closed","0","17","Pediredla, Sampath","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90081",""
"202590","ARCH295","ARCHITECTURE STUDIO III","005","90082","MR","1:00 PM - 5:20 PM"," ","Closed","0","16","Ekenel, Nida","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90082",""
