"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","BDS725","INDEPENDENT STUDY I","613","90262","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90262","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","870","90263","","TBA"," ","Open","19","0","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90263","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","874","90264","","TBA"," ","Open","19","1","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90264","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","879","90265","","TBA"," ","Open","19","0","Sylla, Cheickna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90265","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","881","90266","","TBA"," ","Open","19","0","Shi, Jim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90266","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","882","90267","","TBA"," ","Open","19","0","Roy, Raja","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90267","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","885","90268","","TBA"," ","Open","19","0","Bandera, Cesar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90268","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","886","90269","","TBA"," ","Open","19","0","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90269","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","889","90270","","TBA"," ","Open","19","0","Anandarajan, Asokan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90270","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","891","90271","","TBA"," ","Open","19","0","Gopalakrishnan, Shanthi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90271","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","893","90272","","TBA"," ","Open","19","0","Zhang, Haisu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90272","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","894","90273","","TBA"," ","Open","19","0","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90273","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","895","90274","","TBA"," ","Open","19","0","Egbelu, Pius","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90274","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","896","90275","","TBA"," ","Open","19","0","Fjermestad, Jerry","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90275","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","897","90276","","TBA"," ","Open","19","0","Yu, Dantong","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90276","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","898","90277","","TBA"," ","Open","19","0","Tao, Xinyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90277","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","899","90278","","TBA"," ","Open","19","0","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90278","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","931","90279","","TBA"," ","Open","19","0","Ehrlich, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90279","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","933","90280","","TBA"," ","Open","19","0","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90280","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","936","96982","","TBA"," ","Open","19","1","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96982","See department for permission to enroll."
"202590","BDS725","INDEPENDENT STUDY I","943","96691","","TBA"," ","Open","19","1","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96691","See department for permission to enroll."
"202590","BDS726","INDEPENDENT STUDY II","613","90281","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90281","See department for permission to enroll."
"202590","BDS726","INDEPENDENT STUDY II","893","90282","","TBA"," ","Open","19","0","Zhang, Haisu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90282","See department for permission to enroll."
"202590","BDS726","INDEPENDENT STUDY II","897","90283","","TBA"," ","Open","19","0","Yu, Dantong","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90283","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","613","90284","","TBA"," ","Open","19","2","Chen, Yi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90284","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","881","90285","","TBA"," ","Open","19","0","Shi, Jim","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90285","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","882","90286","","TBA"," ","Open","19","0","Roy, Raja","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90286","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","893","90287","","TBA"," ","Open","19","0","Zhang, Haisu","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90287","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","894","90288","","TBA"," ","Open","19","0","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90288","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","896","90289","","TBA"," ","Open","19","0","Fjermestad, Jerry","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90289","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","897","90290","","TBA"," ","Open","19","2","Yu, Dantong","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90290","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","899","90291","","TBA"," ","Open","19","1","Chang, Ai Chih","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90291","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","931","90292","","TBA"," ","Open","19","0","Ehrlich, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90292","See department for permission to enroll."
"202590","BDS790A","DOCTORAL DISSERTATION & RES","943","96972","","TBA"," ","Open","19","1","Uddin, Ajim","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96972","See department for permission to enroll."
"202590","BDS791","DOCTORAL SEMINAR","001","90293","W","1:00 PM - 2:20 PM","CAB 2020","Open","19","9","Gopalakrishnan, Shanthi","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90293",""
"202590","BDS792B","PRE-DOCTORAL RESEARCH","613","90294","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90294","See department for permission to enroll."
