"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","BME111","INTRODUCTION TO PHYSIOLOGY","001","90571","MW","8:30 AM - 9:50 AM","CULM LECT 1","Open","60","50","Kozan, Natalie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90571",""
"202590","BME210","PROCESSING FUND FOR BIOL SIGNA","001","90572","W","10:00 AM - 12:50 PM","FENS 636","Closed","23","23","Alvarez, Tara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90572",""
"202590","BME210","PROCESSING FUND FOR BIOL SIGNA","003","90573","R","2:30 PM - 5:20 PM","FENS 640","Open","23","22","Di, Xin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90573",""
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I","001","90574","F","2:30 PM - 4:35 PM","CKB 303","Open","23","20","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90574","Common lecture, LAB every other week"
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I","001","90574","T","2:30 PM - 4:35 PM","FENS 640","Open","23","20","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90574","Common lecture, LAB every other week"
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I","003","90575","F","2:30 PM - 4:35 PM","CKB 303","Open","23","17","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90575","Common lecture, LAB every other week"
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I","003","90575","T","2:30 PM - 4:35 PM","FENS 636","Open","23","17","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90575","Common lecture, LAB every other week"
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM1","90576","F","2:30 PM - 4:35 PM","CKB 303","Open","15","12","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90576","Honors Course<br />Common lecture, LAB every other week"
"202590","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM1","90576","T","2:30 PM - 4:35 PM","FENS 640","Open","15","12","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90576","Honors Course<br />Common lecture, LAB every other week"
"202590","BME302","INTRO BIOMED ENGR II","001","90577","M","10:00 AM - 12:05 PM","FENS 636","Open","20","15","Pal, Saikat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90577","Lab portion meets alternate weeks starting: 9/8/2025"
