"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","BIOL200","CONCEPTS IN BIOLOGY","001","90304","R","11:30 AM - 12:50 PM","FMH 411","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90304",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","001","90304","TR","10:00 AM - 11:20 AM","CKB 303","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90304",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","003","90305","F","10:00 AM - 11:20 AM","GITC 2315A","Open","20","19","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90305",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","003","90305","TR","10:00 AM - 11:20 AM","CKB 303","Open","20","19","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90305",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","005","90306","R","2:30 PM - 3:50 PM","CKB 212","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90306",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","005","90306","TR","10:00 AM - 11:20 AM","CKB 303","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90306",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","007","90307","F","8:30 AM - 9:50 AM","CKB 220","Open","20","16","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90307",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","007","90307","TR","10:00 AM - 11:20 AM","CKB 303","Open","20","16","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90307",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","009","90308","F","2:30 PM - 3:50 PM","CKB 220","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90308",""
"202590","BIOL200","CONCEPTS IN BIOLOGY","009","90308","TR","10:00 AM - 11:20 AM","CKB 303","Closed","20","20","Nelson, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90308",""
