"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","CE100","INTRODUCTION TO CIVIL ENGINEER","001","96699","MW","10:00 AM - 11:00 AM"," ","Cancelled","20","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96699","Cancelled 05/04/25"
"202590","CE100","INTRODUCTION TO CIVIL ENGINEER","003","96726","M","1:00 PM - 3:05 PM","COLT 416","Open","45","37","Golon, Frank","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96726",""
"202590","CE101","CE COMPUTER AIDED DESIGN","001","90842","R","12:15 PM - 2:20 PM","GITC 2305","Closed","37","37","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90842","Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200","SURVEYING","101","90843","R","6:00 PM - 8:50 PM","TIER LECT 1","Open","140","102","Lapatka, Allison","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90843","Must also register for CE 200A<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","001","90844","R","10:00 AM - 12:50 PM","GITC 2400","Closed","32","33","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90844","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","001","90844","","TBA"," ","Closed","32","33","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90844","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","003","90845","R","1:00 PM - 3:50 PM","GITC 2400","Closed","32","32","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90845","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","003","90845","","TBA"," ","Closed","32","32","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90845","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","101","90846","S","9:00 AM - 11:50 AM","GITC 2400","Closed","32","32","Zimmermann, William","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90846","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","101","90846","","TBA"," ","Closed","32","32","Zimmermann, William","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90846","Students must also register for CE 200<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE200A","SURVEYING LAB","103","90847","S","1:00 PM - 3:50 PM"," ","Cancelled","20","0","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90847","Cancelled 03/28/25"
"202590","CE200A","SURVEYING LAB","103","90847","","TBA"," ","Cancelled","20","0","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90847","Cancelled 03/28/25"
"202590","CE210","CONSTRN MATRLS & PROCDRS","001","90848","MW","8:30 AM - 9:50 AM","COLT 416","Closed","45","45","Golon, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90848",""
"202590","CE210","CONSTRN MATRLS & PROCDRS","003","90849","M","10:00 AM - 11:20 AM","CKB 207","Open","33","32","Karaa, Fadi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90849",""
"202590","CE210","CONSTRN MATRLS & PROCDRS","003","90849","W","10:00 AM - 11:20 AM","CKB 124","Open","33","32","Karaa, Fadi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90849",""
"202590","CE210","CONSTRN MATRLS & PROCDRS","101","90850","F","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90850","Cancelled 03/28/25"
"202590","CE260","CIVIL ENGINEERNG METHODS","001","90851","M","10:00 AM - 12:50 PM","GITC 2315C","Open","25","20","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90851","Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE260","CIVIL ENGINEERNG METHODS","003","90852","T","2:30 PM - 5:20 PM","GITC 2315C","Closed","25","25","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90852","Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE260","CIVIL ENGINEERNG METHODS","101","90853","T","6:00 PM - 8:50 PM","MALL PC39","Open","25","9","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90853","Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE260","CIVIL ENGINEERNG METHODS","103","90854","F","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90854","Cancelled 03/28/25"
"202590","CE260","CIVIL ENGINEERNG METHODS-HONORS","HM1","90855","T","6:00 PM - 8:50 PM","MALL PC39","Open","5","1","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90855","Honors Course<br />Hybrid Course<br />See syllabus for F2F meeting information."
"202590","CE307","GEOMETRC DGN FOR HIGHWAY","001","90856","W","6:00 PM - 8:50 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90856","Cancelled 03/28/25"
"202590","CE320","FLUID MECHANICS","001","90857","TR","11:30 AM - 1:35 PM","KUPF 202","Open","45","39","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90857",""
"202590","CE320","FLUID MECHANICS","003","96746","M","11:30 AM - 1:35 PM","FMH 403","Open","35","23","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96746",""
"202590","CE320","FLUID MECHANICS","003","96746","W","11:30 AM - 1:35 PM","TIER 106","Open","35","23","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96746",""
"202590","CE320","FLUID MECHANICS","101","90858","T","6:00 PM - 10:05 PM","CKB 215","Open","35","28","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90858",""
"202590","CE320","FLUID MECHANICS - HONORS","HM1","90859","T","6:00 PM - 10:05 PM","CKB 215","Open","5","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90859","Honors Course"
"202590","CE320A","HYDRAULICS LABORATORY","001","90860","R","1:00 PM - 3:50 PM","COLT 311","Open","26","25","Borgaonkar, Ashish","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=90860",""
