"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","CET313","HEAVY HIGHWAY CONSTRUCTION","001","91185","MR","10:00 AM - 12:05 PM","MALL PC39","Closed","30","30","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91185",""
"202590","CET313","HEAVY HIGHWAY CONSTRUCTION","101","91186","T","6:00 PM - 10:05 PM","MALL PC37","Closed","30","31","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91186",""
"202590","CET317","CONSTRUCTION COMPUTING","001","91187","F","2:30 PM - 4:35 PM","MALL PC39","Open","25","17","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91187",""
"202590","CET317","CONSTRUCTION COMPUTING","001","91187","T","10:00 AM - 12:05 PM","GITC 2302","Open","25","17","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91187",""
"202590","CET317","CONSTRUCTION COMPUTING","101","91188","W","6:00 PM - 10:05 PM","MALL PC37","Closed","25","26","Hawes, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91188",""
"202590","CET322","CONSTRUCTN REGS & STANDA","001","91189","TF","8:30 AM - 9:50 AM","CKB 212","Closed","25","25","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91189",""
"202590","CET322","CONSTRUCTN REGS & STANDA","101","91190","F","6:00 PM - 8:50 PM","CKB 315","Closed","25","28","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91190",""
"202590","CET331","STRUCTURAL SYSTEMS","101","91191","M","6:00 PM - 10:05 PM","GITC 2315C","Open","25","23","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91191",""
"202590","CET331","STRUCTURAL SYSTEMS","101","91191","M","6:00 PM - 7:55 PM","GITC 1400","Open","25","23","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91191",""
"202590","CET411","COST ESTIMATING","001","91192","TR","10:00 AM - 12:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91192","Cancelled 07/15/25"
"202590","CET411","COST ESTIMATING","101","91193","T","6:00 PM - 8:50 PM","CKB 223","Closed","30","30","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91193",""
"202590","CET415","CONTRUCTN PROJ MANAGEMNT","001","91194","TF","1:00 PM - 2:20 PM","KUPF 105","Closed","35","35","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91194",""
"202590","CET415","CONTRUCTN PROJ MANAGEMNT","101","91195","M","6:00 PM - 8:50 PM"," ","Cancelled","60","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91195","Cancelled 08/12/25"
"202590","CET421","CONSTRUCTION CONTRACTS","101","91196","W","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91196","Cancelled 08/12/25"
"202590","CET423","CONSTRUCTION SAFETY","001","91197","TR","2:30 PM - 4:35 PM","GITC 2311","Closed","25","25","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91197",""
