"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","CHEM121","FUND OF CHEMICAL PRINCIPLES I","001","91502","R","4:00 PM - 5:20 PM","KUPF 107","Open","43","41","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91502","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM121","FUND OF CHEMICAL PRINCIPLES I","001","91502","T","4:00 PM - 5:20 PM","WEST LECT 1","Open","43","41","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91502","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM121","FUND OF CHEMICAL PRINCIPLES I","003","91503","F","4:00 PM - 5:20 PM","FMH 306","Open","43","36","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91503","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM121","FUND OF CHEMICAL PRINCIPLES I","003","91503","T","4:00 PM - 5:20 PM","WEST LECT 1","Open","43","36","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91503","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM121","FUND OF CHEMICAL PRINCIPLES I","101","91504","T","6:00 PM - 8:50 PM","CKB 124","Open","43","30","Kikhwa, Miryam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91504","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM125","GENERAL CHEMISTRY I","001","91505","F","1:00 PM - 2:20 PM","TIER LECT 2","Closed","43","43","Peels, Mieke","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91505","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM125","GENERAL CHEMISTRY I","001","91505","T","1:00 PM - 2:20 PM","CKB 124","Closed","43","43","Peels, Mieke","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91505","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM125","GENERAL CHEMISTRY I","003","91506","F","1:00 PM - 2:20 PM","TIER LECT 2","Open","43","42","Peels, Mieke","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91506","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM125","GENERAL CHEMISTRY I","003","91506","W","10:00 AM - 11:20 AM","FMH 306","Open","43","42","Peels, Mieke","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91506","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","CHEM125","GENERAL CHEMISTRY I","005","91507","F","1:00 PM - 2:20 PM","TIER LECT 2","Open","43","42","Peels, Mieke","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=91507","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
