"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","DD263","DIGITAL DESIGN STUDIO I","001","92369","MR","1:00 PM - 5:20 PM"," ","Closed","16","16","Zajacz, Michael","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92369",""
"202590","DD263","DIGITAL DESIGN STUDIO I","003","92370","MR","1:00 PM - 5:20 PM"," ","Open","16","12","Hannah, Camerun","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92370",""
"202590","DD263","DIGITAL DESIGN STUDIO I","005","92371","MR","1:00 PM - 5:20 PM"," ","Cancelled","11","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92371","Cancelled 08/14/25"
"202590","DD275","HISTORY OF GAMES","007","92372","T","8:30 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92372","Cancelled 06/12/25"
"202590","DD275","HISTORY OF GAMES","009","96766","T","8:30 AM - 11:20 AM","CAMP 236C","Closed","18","18","Zajacz, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96766",""
"202590","DD275","HISTORY OF GAMES","101","92373","M","6:00 PM - 8:50 PM"," ","Cancelled","18","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92373","Cancelled  06/12/25"
"202590","DD275","HISTORY OF GAMES","103","92374","R","6:00 PM - 8:50 PM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92374","Cancelled 06/12/25"
"202590","DD275","HISTORY OF GAMES","105","96767","M","6:00 PM - 8:50 PM","CAMP 236H","Open","18","12","McClain, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96767",""
"202590","DD275","HISTORY OF GAMES","107","96768","R","6:00 PM - 8:50 PM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96768","Cancelled 08/14/25"
"202590","DD303","FOUNDATIONS OF SOUND AND MUSIC","001","92375","MR","10:00 AM - 11:20 AM"," ","Cancelled","40","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92375","Cancelled 08/22/25"
"202590","DD303","FOUNDATIONS OF SOUND AND MUSIC","003","96943","F","1:00 PM - 3:50 PM","WEST 249","Open","40","12","Liebermann, Alexander","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96943",""
"202590","DD334","SIMULATED ENVIRONMENTS","103","92376","R","6:00 PM - 8:50 PM","WEST 650","Closed","15","15","Sakhobiyen, Khasan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92376",""
