"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","DS100","BASIC FOUNDATIONS OF DS","001","96542","F","1:00 PM - 2:20 PM","CKB 315","Open","30","8","Kaur, Ravneet","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96542",""
"202590","DS100","BASIC FOUNDATIONS OF DS","001","96542","T","1:00 PM - 2:20 PM","CKB 206","Open","30","8","Kaur, Ravneet","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96542",""
"202590","DS110","BASIC FOUNDATIONS OF AI","001","96489","F","8:30 AM - 11:20 AM","TIER 114","Open","30","24","Phan, Hai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96489",""
"202590","DS340","FUND. AND PRIN. OF DS","001","92383","W","8:30 AM - 11:20 AM","TIER 114","Open","30","13","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92383",""
"202590","DS400","FOUNDATION OF ML","101","96543","R","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96543","Cancelled 06/17/25"
"202590","DS410","FEDML AND APPLICATIONS","001","96707","TF","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96707","Cancelled 06/12/25"
"202590","DS488","INDEPENDENT STUDY IN DS","146","92384","","TBA"," ","Open","19","0","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92384","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","531","92385","","TBA"," ","Open","19","1","Bader, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92385","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","540","92386","","TBA"," ","Open","19","0","Basu Roy, Senjuti","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92386","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","542","92387","","TBA"," ","Open","19","0","Li, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92387","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","543","92388","","TBA"," ","Open","19","0","Sharma, Shantanu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92388","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","550","92389","","TBA"," ","Open","19","0","Roshan, Usman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92389","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","566","92390","","TBA"," ","Open","19","0","Xu, Mengjia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92390","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","568","92391","","TBA"," ","Open","19","0","Wang, Lijing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92391","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","570","92392","","TBA"," ","Open","19","0","Du, Mengnan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92392","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","572","92393","","TBA"," ","Open","19","1","Wei, Zhi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92393","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","575","92394","","TBA"," ","Open","19","0","Zhang, Shuai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92394","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","576","92395","","TBA"," ","Open","19","0","Rangamani, Akshay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92395","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","582","92396","","TBA"," ","Open","19","0","Wang, Lingxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92396","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","606","92397","","TBA"," ","Open","19","0","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92397","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","610","92398","","TBA"," ","Open","19","0","Dasgupta, Aritra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92398","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","612","96916","","TBA"," ","Open","19","1","Vinnikov, Margarita","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96916","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","616","92399","","TBA"," ","Open","19","0","Phan, Hai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92399","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","624","92400","","TBA"," ","Open","19","1","Wang, Guiling","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92400","See department for permission to enroll."
"202590","DS488","INDEPENDENT STUDY IN DS","693","92401","","TBA"," ","Open","19","0","Afkhami, Shahriar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92401","See department for permission to enroll."
"202590","DS492","DATA SCIENCE CAPSTONE I","101","96701","R","6:00 PM - 8:50 PM","CKB 310","Open","21","14","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96701",""
"202590","DS493","DATA SCIENCE CAPSTONE II","001","96702","F","2:30 PM - 5:20 PM","CKB 222","Open","21","3","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96702",""
"202590","DS493","DATA SCIENCE CAPSTONE II - HONORS","H01","96703","F","8:30 AM - 11:20 AM","CKB 314","Open","21","0","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96703","Honors Course"
