"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","001","92863","M","10:45 AM - 12:50 PM","FMH 109","Closed","20","24","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92863",""
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","001","92863","R","12:15 PM - 2:20 PM","FMH 403","Closed","20","24","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92863",""
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","101","92864","R","6:00 PM - 7:55 PM","FMH 205","Closed","25","25","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92864",""
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","101","92864","R","8:05 PM - 10:00 PM","FMH 204A","Closed","25","25","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92864",""
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","103","92865","R","8:05 PM - 10:00 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92865","Cancelled 05/14/25"
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","103","92865","T","6:00 PM - 7:55 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92865","Cancelled 05/14/25"
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","105","96739","T","6:00 PM - 7:55 PM","FMH 313","Closed","25","25","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96739",""
"202590","ECET201","CIRCUIT ANALYSIS DC AND AC","105","96739","T","8:05 PM - 10:00 PM","FMH 304","Closed","25","25","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96739",""
"202590","ECET202","CIRCUITS II","001","96648","M","1:00 PM - 3:05 PM","FMH 405","Open","35","27","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96648",""
"202590","ECET202","CIRCUITS II","001","96648","W","11:30 AM - 1:35 PM","FMH 318","Open","35","27","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96648",""
"202590","ECET205","ANALOG ELECTRONICS","101","92866","R","6:00 PM - 7:55 PM","FMH 412","Open","25","23","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92866",""
"202590","ECET205","ANALOG ELECTRONICS","101","92866","R","8:05 PM - 10:00 PM","FMH 316","Open","25","23","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92866",""
"202590","ECET211","COMP. ARCH. & EMBEDDED SYS.","001","92867","M","10:00 AM - 12:05 PM","MALL PC36","Closed","25","25","Azizi, Mohsen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92867",""
"202590","ECET211","COMP. ARCH. & EMBEDDED SYS.","001","92867","W","8:30 AM - 10:35 AM","GITC 2302","Closed","25","25","Azizi, Mohsen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92867",""
"202590","ECET214","INTRO TO COMMUNICATION SYSTEMS","101","92868","W","6:00 PM - 7:55 PM","FMH 108","Open","30","19","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92868",""
"202590","ECET214","INTRO TO COMMUNICATION SYSTEMS","101","92868","W","8:05 PM - 10:00 PM","FMH 316","Open","30","19","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92868",""
"202590","ECET214","INTRO TO COMMUNICATION SYSTEMS","103","92869","M","6:00 PM - 7:55 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92869","Cancelled 08/23/25"
