"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ECE231","CIRCUITS & SYSTEMS I","001","92564","F","2:30 PM - 3:30 PM","TIER LECT 2","Closed","80","80","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92564",""
"202590","ECE231","CIRCUITS & SYSTEMS I","001","92564","TR","2:30 PM - 3:50 PM","TIER LECT 1","Closed","80","80","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92564",""
"202590","ECE231","CIRCUITS & SYSTEMS I","101","92565","R","6:00 PM - 10:05 PM","ECEC 115","Open","50","49","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92565",""
"202590","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM1","92566","F","2:30 PM - 3:30 PM","TIER LECT 2","Open","20","9","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92566","Honors Course"
"202590","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM1","92566","TR","2:30 PM - 3:50 PM","TIER LECT 1","Open","20","9","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92566","Honors Course"
"202590","ECE232","CIRCUITS & SYSTEMS II","001","92567","M","1:00 PM - 2:00 PM","ECEC 115","Open","50","48","Taylor, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92567",""
"202590","ECE232","CIRCUITS & SYSTEMS II","001","92567","TR","2:30 PM - 3:50 PM","ECEC 115","Open","50","48","Taylor, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92567",""
"202590","ECE232","CIRCUITS & SYSTEMS II","101","92568","F","6:00 PM - 10:05 PM","ECEC 115","Open","60","32","Zhou, Mengchu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92568",""
"202590","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM1","92569","M","1:00 PM - 2:00 PM","ECEC 115","Open","10","9","Taylor, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92569","Honors Course"
"202590","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM1","92569","TR","2:30 PM - 3:50 PM","ECEC 115","Open","10","9","Taylor, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92569","Honors Course"
"202590","ECE251","DIGITAL DESIGN","001","92570","F","8:30 AM - 9:50 AM","CKB 120","Closed","38","38","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92570",""
"202590","ECE251","DIGITAL DESIGN","001","92570","M","2:30 PM - 3:30 PM","FMH 110","Closed","38","38","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92570",""
"202590","ECE251","DIGITAL DESIGN","001","92570","W","8:30 AM - 9:50 AM","FMH 207","Closed","38","38","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92570",""
"202590","ECE251","DIGITAL DESIGN","003","92571","M","1:00 PM - 2:00 PM","KUPF 107","Closed","38","38","Walker-Soler, Jean","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92571",""
"202590","ECE251","DIGITAL DESIGN","003","92571","WF","10:00 AM - 11:20 AM","CULM LECT 3","Closed","38","38","Walker-Soler, Jean","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92571",""
"202590","ECE251","DIGITAL DESIGN","101","92572","T","6:00 PM - 10:05 PM","KUPF 210","Closed","60","66","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92572",""
