"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ECON201","ECONOMICS","001","92895","F","2:30 PM - 5:20 PM","KUPF 211","Open","43","40","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92895","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/5/25<br />Non Business Majors Only"
"202590","ECON201","ECONOMICS","003","92896","F","2:30 PM - 5:20 PM","KUPF 211","Open","43","27","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92896","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/5/25<br />Non Business Majors Only"
"202590","ECON201","ECONOMICS","101","92897","W","6:00 PM - 8:50 PM","KUPF 118","Open","43","31","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92897","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/3/25<br />Non Business Majors Only"
"202590","ECON201","ECONOMICS","103","92898","W","6:00 PM - 8:50 PM","KUPF 118","Open","43","18","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92898","Hybrid Course<br />Face-to-face meetings held alternate weeks starting 9/3/25<br />Non Business Majors Only"
"202590","ECON201","ECONOMICS","451","92899","","TBA"," ","Closed","30","30","Bonitsis, Theologos","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92899","Online Course<br />Non Business Majors Only"
"202590","ECON265","MICROECONOMICS","001","92900","MW","1:00 PM - 2:20 PM","KUPF 105","Open","43","40","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92900",""
"202590","ECON265","MICROECONOMICS","451","92901","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92901","Online Course"
"202590","ECON265","MICROECONOMICS","453","92902","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92902","Online Course"
"202590","ECON265","MICROECONOMICS","455","92903","","TBA"," ","Open","30","29","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92903","Online Course"
"202590","ECON265","MICROECONOMICS","457","92904","","TBA"," ","Open","30","28","Guider, Joseph","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92904","Online Course"
"202590","ECON265","MICROECONOMICS","459","96687","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96687","Online Course"
"202590","ECON266","MACROECONOMICS","101","92905","F","6:00 PM - 8:50 PM","KUPF 108","Open","43","31","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92905",""
"202590","ECON266","MACROECONOMICS","451","92906","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92906","Online Course"
