"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","EM602","MANAGEMENT SCIENCE","101","92907","R","6:00 PM - 8:50 PM","ME 224","Open","30","20","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92907",""
"202590","EM602","MANAGEMENT SCIENCE","851","92908","","TBA"," ","Open","30","28","Cai, Wenbo","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92908","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","EM602","MANAGEMENT SCIENCE","853","92909","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92909","Cancelled 03/31/25"
"202590","EM631","LEGAL ASPCT IN ENVR ENGR","851","92910","","TBA"," ","Open","30","16","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92910","Restricted to Newark Campus Students Only<br />Online Course"
"202590","EM632","LEGAL ASPECTS IN CONSTR","851","92911","","TBA"," ","Open","30","22","Avoryie, Abigail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92911","Restricted to Virtual Campus Students Only<br />Online Course"
"202590","EM633","LEGAL ASPCTS OF HLT SFTY","101","92912","T","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92912","Cancelled 08/27/25"
"202590","EM633","LEGAL ASPCTS OF HLT SFTY","103","96965","F","6:00 PM - 8:50 PM","CKB 114","Open","30","8","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96965",""
"202590","EM636","PROJECT MANAGEMENT","101","92913","W","6:00 PM - 8:50 PM","KUPF 204","Open","40","30","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92913","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />Face-to-Face meetings held alternate weeks starting: 9-3-25"
"202590","EM636","PROJECT MANAGEMENT","103","92914","W","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92914","Cancelled 05/13/25"
"202590","EM636","PROJECT MANAGEMENT","851","92915","","TBA"," ","Open","40","31","Naraine, Deoraj","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92915","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","EM636","PROJECT MANAGEMENT","853","92916","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92916","Cancelled 03/31/25"
"202590","EM637","PROJECT CONTROL","851","92917","","TBA"," ","Open","30","14","Snyder, Harris","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92917","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","EM637","PROJECT CONTROL","853","92918","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92918","Cancelled 03/31/25"
"202590","EM640","DISTRIBUTION LOGISTICS","851","92919","","TBA"," ","Open","30","24","Yagci, Ismail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92919","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","EM640","DISTRIBUTION LOGISTICS","853","92920","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92920","Cancelled 03/31/25"
"202590","EM691","COST ESTIMTNG CAPTL PROJ","851","92921","","TBA"," ","Open","30","26","Jaramillo Cueva, Cesar Augusto","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92921","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","EM691","COST ESTIMTNG CAPTL PROJ","853","92922","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92922","Cancelled 03/31/25"
"202590","EM700B","MASTER'S PROJECT","361","92923","","TBA"," ","Open","19","0","Barak Ventura, Roni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92923","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","362","92924","","TBA"," ","Open","19","0","Yin, Wei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92924","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","390","92925","","TBA"," ","Open","19","0","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92925","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","391","92926","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92926","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","392","92927","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92927","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","394","92928","","TBA"," ","Open","19","0","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92928","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","400","92929","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92929","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","402","92930","","TBA"," ","Open","19","0","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92930","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","403","92931","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92931","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","407","92932","","TBA"," ","Open","19","0","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92932","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","462","92933","","TBA"," ","Open","19","0","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92933","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","486","92934","","TBA"," ","Open","19","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92934","See department for permission to enroll."
"202590","EM700B","MASTER'S PROJECT","487","92935","","TBA"," ","Open","19","0","Cai, Wenbo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92935","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","361","92936","","TBA"," ","Open","19","0","Barak Ventura, Roni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92936","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","362","92937","","TBA"," ","Open","19","0","Yin, Wei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92937","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","390","92938","","TBA"," ","Open","19","0","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92938","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","391","92939","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92939","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","392","92940","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92940","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","394","92941","","TBA"," ","Open","19","0","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92941","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","400","92942","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92942","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","402","92943","","TBA"," ","Open","19","0","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92943","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","403","92944","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92944","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","407","92945","","TBA"," ","Open","19","0","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92945","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","462","92946","","TBA"," ","Open","19","0","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92946","See department for permission to enroll."
"202590","EM701B","MASTER'S THESIS","486","92947","","TBA"," ","Open","19","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92947","See department for permission to enroll."
