"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ENE262","INTRO TO ENVIRONMENTAL ENGR","001","92988","T","10:00 AM - 2:20 PM","TIER 114","Closed","30","30","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92988",""
"202590","ENE262","INTRO TO ENVIRONMENTAL ENGR","101","92989","T","6:00 PM - 10:05 PM","CULM LECT 2","Open","30","26","Venkatesan, Arjun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92989",""
"202590","ENE262","INTRO TO ENVIRONMENTAL ENGR","103","92990","R","6:00 PM - 10:05 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92990","Cancelled 03/28/25"
"202590","ENE360","WATER & WASTEWATER ENGINEERING","101","92991","W","6:00 PM - 8:50 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92991","Cancelled 03/28/25"
"202590","ENE490","SENIOR PROJECT","181","92992","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92992","See department for permission to enroll."
"202590","ENE490","SENIOR PROJECT","182","92993","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92993","See department for permission to enroll."
"202590","ENE490","SENIOR PROJECT","197","92994","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92994","See department for permission to enroll."
"202590","ENE490","SENIOR PROJECT","198","92995","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92995","See department for permission to enroll."
"202590","ENE490","SENIOR PROJECT","211","92996","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92996","See department for permission to enroll."
"202590","ENE490","SENIOR PROJECT","214","92997","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=92997","See department for permission to enroll."
