"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","EVSC335","ENVIRONMENTAL LAW","001","93205","TR","11:30 AM - 12:50 PM","FMH 108","Open","30","24","Bonchonsky, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93205",""
"202590","EVSC385","ENVIRONMENTAL MICROBIOLOGY","001","93206","R","6:00 PM - 8:50 PM","TIER 107","Open","30","23","Li, Mengyan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93206",""
"202590","EVSC391","RESEARCH AND INDEPENDENT STUDY","843","96784","","TBA"," ","Open","19","1","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96784","See department for permission to enroll."
"202590","EVSC484","ENVIRONMENTAL ANALYSIS","101","93207","M","6:00 PM - 10:05 PM","TIER 205","Open","15","9","Eshun, Gaddi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93207",""
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","131","93208","","TBA"," ","Open","19","0","Sadik, Wunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93208","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","132","93209","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93209","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","135","93210","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93210","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","136","93211","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93211","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","137","93212","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93212","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","138","93213","","TBA"," ","Open","19","0","Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93213","See department for permission to enroll."
"202590","EVSC591","GRADUATE WORK EXPERIENCE I","141","93214","","TBA"," ","Open","19","0","Casado Zapico, Sai","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93214","See department for permission to enroll."
