"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N19","93376","M","8:30 AM - 11:20 AM","KUPF 118","Open","30","25","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93376",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N21","93377","F","8:30 AM - 11:20 AM","CKB 204","Closed","33","33","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93377",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N23","93378","F","8:30 AM - 11:20 AM","CKB 204","Open","33","31","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93378",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N25","93379","M","8:30 AM - 11:20 AM","KUPF 118","Open","30","28","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93379",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N27","93380","T","8:30 AM - 11:20 AM","FMH 304","Closed","30","30","Raj, Ratna","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93380",""
"202590","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N29","96908","M","8:30 AM - 11:20 AM","KUPF 118","Open","30","26","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96908",""
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","BPS","96805","","","","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96805","Cancelled 9/11/2025"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","CRA","96796","","","","Closed","0","12","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96796","For Cranford High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","EST","96797","","","","Closed","0","16","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96797","For Essex School of Technology Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","GRH","96798","","","","Closed","0","9","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96798","For Glenridge High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","HS1","96791","S","9:00 AM - 11:50 AM"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96791","Cancelled 09/08/2025"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","JDT","96989","","","","Closed","0","15","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96989","For John E. Dwyer Technology Academy Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","LIV","96799","","","","Closed","0","10","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96799","For Livingston High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","MWH","96800","","","","Closed","0","4","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96800","For Mahwah High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","NHS","96801","","","","Closed","0","4","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96801","For Northern Valley Regional High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","NVR","96802","","","","Closed","0","35","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96802","For Northern Valley Regional High School Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","PAC","96803","","","","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96803","For Paterson Charter School for Science & Tech Students Only"
"202590","FED101","FUNDAMENTALS OF ENGR DESIGN","PTH","96804","","","","Closed","0","7","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96804","For Parsippany-Troy Hills High School Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N41","93384","TR","1:00 PM - 2:20 PM","FENS 160","Open","23","22","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93384","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N43","93385","MW","1:00 PM - 2:20 PM","FENS 160","Open","40","37","Mu, Xiaoming","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93385","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N45","93386","MW","11:30 AM - 12:50 PM","FENS 160","Closed","40","40","Mu, Xiaoming","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93386","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N47","93387","TF","4:00 PM - 5:20 PM","FENS 160","Open","40","39","Mu, Xiaoming","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93387","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N49","93388","TR","2:30 PM - 3:50 PM","FENS 160","Open","40","35","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93388","ME Students Only"
"202590","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N51","93389","TR","10:00 AM - 11:20 AM","FENS 160","Closed","40","40","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93389","ME Students Only"
"202590","FED101","MIE - FUNDAMENTALS OF ENGINEERING DESIGN - HONORS","HM1","93369","TR","1:00 PM - 2:20 PM","FENS 160","Closed","0","17","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93369","Honors Course<br />ME Students Only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N01","93370","F","10:00 AM - 11:20 AM","KUPF 210","Closed","30","30","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93370","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N01","93370","M","2:30 PM - 3:50 PM","MALL PC40","Closed","30","30","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93370","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N03","93371","F","10:00 AM - 11:20 AM","KUPF 210","Open","30","29","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93371","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N03","93371","T","4:00 PM - 5:20 PM","MALL PC36","Open","30","29","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93371","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N05","93372","F","10:00 AM - 11:20 AM","KUPF 210","Closed","30","30","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93372","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N05","93372","T","10:00 AM - 11:20 AM","MALL PC36","Closed","30","30","Barak Ventura, Roni","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93372","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N07","93373","R","11:30 AM - 12:50 PM","MALL PC36","Open","30","22","Tchouassi, Lucie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93373","BME, CHE, CE, GEN, IE, MTEN majors only"
"202590","FED101","NCE - FUNDAMENTALS OF ENGINEERING DESIGN","N07","93373","T","4:00 PM - 5:20 PM","KUPF 210","Open","30","22","Tchouassi, Lucie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93373","BME, CHE, CE, GEN, IE, MTEN majors only"
