"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","001","93450","MW","10:00 AM - 11:20 AM","CULM 111","Open","32","30","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93450",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","003","93451","MW","11:30 AM - 12:50 PM","CULM 110","Open","32","22","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93451",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","005","93452","MW","11:30 AM - 12:50 PM","FMH 412","Open","32","31","Fuller, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93452",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","007","93453","MW","1:00 PM - 2:20 PM","CULM 111","Closed","32","32","Fuller, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93453",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","009","93454","TR","4:00 PM - 5:20 PM","CULM 111","Open","18","16","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93454",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","011","93455","TR","11:30 AM - 12:50 PM","CKB 204","Closed","32","32","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93455",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","013","93456","TR","1:00 PM - 2:20 PM","FMH 108","Open","32","16","Petursson, Svanur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93456",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","015","93457","TR","1:00 PM - 2:20 PM","CULM 111","Open","32","31","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93457",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD","101","93458","M","6:00 PM - 8:50 PM","CKB 114","Open","32","25","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93458",""
"202590","HIST213","THE TWENTIETH-CENTURY WORLD - HONORS","HM1","93459","TR","4:00 PM - 5:20 PM","CULM 111","Open","10","1","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93459","Honors Course"
"202590","HIST214","TECH & CULT IN AMER HISTORY","101","93460","W","6:00 PM - 8:50 PM","CULM 111","Open","32","12","Toler, Herbert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93460",""
"202590","HIST310","HISTORY CO-OP I","003","93462","","TBA"," ","Open","19","1","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93462","For History Majors Only<br />See department for permission to enroll."
"202590","HIST310","LTC CO-OP I","001","93461","","TBA"," ","Open","19","7","Mitchell, Mary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93461","For LTC Majors Only<br />See department for permission to enroll."
"202590","HIST311","HISTORY CO-OP II","003","93464","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93464","For History Majors Only<br />For students who have completed HIST 310<br />See department for permission to enroll."
"202590","HIST311","LTC CO-OP II","001","93463","","TBA"," ","Open","19","2","Mitchell, Mary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93463","For LTC Majors Only<br />For students who have completed HIST 310<br />See department for permission to enroll."
"202590","HIST320","LAW AND EVIDENCE","101","93465","M","6:00 PM - 8:50 PM","CULM LECT 2","Open","32","31","Flynn, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93465",""
"202590","HIST338","ENVIRONMENTAL JUSTICE AND CLIMATE CHANGE IN AMERICA - HONORS","H01","93466","TR","2:30 PM - 3:50 PM","DHRH 212","Open","24","8","Maher, Neil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93466","HONORS COURSE"
"202590","HIST362","SEX, GENDER & LAW IN AMER HIST","001","93467","TR","2:30 PM - 3:50 PM","CULM 110","Closed","32","32","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93467",""
"202590","HIST363","U.S. AS A WORLD POWER","101","93468","R","6:00 PM - 8:50 PM","CKB 219","Closed","32","32","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93468",""
"202590","HIST369","LAW AND SOCIETY IN HISTORY","001","93469","TR","11:30 AM - 12:50 PM","CULM 111","Open","32","30","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93469",""
"202590","HIST373","THE RISE OF MODERN SCIENCE","001","93470","MW","1:00 PM - 2:20 PM","FMH 409","Open","32","29","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93470",""
"202590","HIST390","HISTL PROB THROUGH FILM","001","93471","F","1:00 PM - 3:50 PM","CULM LECT 1","Open","32","31","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93471","Topic: Self-Depictions of the Middle East"
