"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","HSS404","ENG SEM:  FAKE NEWS AND MISINFORMATION IN THE POST-TRUTH ERA","107","93572","W","6:00 PM - 8:50 PM","CKB 206","Closed","20","20","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93572",""
"202590","HSS404","ENG SEM: ARTIFICIAL LIFE: FRANKENSTEIN AND AFTER","035","93554","MR","8:30 AM - 9:50 AM","FMH 403","Closed","20","20","Siemann, Catherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93554",""
"202590","HSS404","ENG SEM: CULT FILMS: COUNTERCULTURE AND THE RISE OF CINEMATIC REVOLUTION","067","93570","WF","10:00 AM - 11:20 AM","CKB 226","Closed","20","20","Gonzalez-Ledezma, Grisele","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93570",""
"202590","HSS404","ENG SEM: DOWN THE SHORE EVERYTHING’S ALL RIGHT","053","93563","MR","1:00 PM - 2:20 PM","CKB 219","Closed","20","20","Gorelick, Risa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93563",""
"202590","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","041","93557","F","10:00 AM - 11:20 AM","FMH 321","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93557","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202590","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","041","93557","","TBA"," ","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93557","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202590","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","043","93558","F","1:00 PM - 2:20 PM","FMH 106","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93558","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202590","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","043","93558","","TBA"," ","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93558","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202590","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","057","93565","MR","2:30 PM - 3:50 PM","CKB 114","Closed","20","20","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93565",""
"202590","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","059","93566","MR","4:00 PM - 5:20 PM","CKB 341","Closed","20","20","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93566",""
