"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","IE203","COMPUTER GRAPHICS IN IE","001","93589","M","10:00 AM - 12:50 PM","GITC 2305","Open","35","27","Ranky, Paul","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93589",""
"202590","IE334","ENGR ECO & CPTL INV ANAL","001","93590","MR","2:30 PM - 3:50 PM","GITC 2305","Open","35","17","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93590",""
"202590","IE335","ENGR COST ANAL & CONTROL","001","93591","TF","2:30 PM - 3:50 PM","GITC 2305","Open","35","32","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93591",""
"202590","IE335","ENGR COST ANAL & CONTROL","451","93592","","TBA"," ","Open","40","39","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93592","Online Course"
"202590","IE335","ENGR COST ANAL & CONTROL","453","93593","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93593","Cancelled 04/03/25"
"202590","IE339","WORK MEASUREMENT AND STANDARDS","101","93594","T","6:00 PM - 10:05 PM","GITC 2311","Open","20","17","Tovar, Sandra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93594",""
"202590","IE355","HUMAN FACTORS IN IE","101","93595","M","6:00 PM - 8:50 PM","KUPF 107","Open","40","33","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93595",""
"202590","IE439","DETERMINISTIC MOD IN OPER RESR","101","93596","F","6:00 PM - 8:50 PM","GITC 2305","Open","30","14","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93596",""
"202590","IE439","DETERMINISTIC MOD IN OPER RESR - HONORS","HM1","93597","F","6:00 PM - 8:50 PM","GITC 2305","Open","5","1","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93597","Honors Course"
"202590","IE441","INFO & KNOW ENGR SYSTEMS","001","93598","WF","10:00 AM - 11:20 AM","GITC 2305","Open","35","30","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93598",""
"202590","IE443","SENIOR PROJECT I","001","93599","R","11:30 AM - 3:50 PM","ME 221","Open","30","13","Abdel-Malek, Layek","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93599",""
"202590","IE443","SENIOR PROJECT I - HONORS","HM1","93600","R","11:30 AM - 3:50 PM","ME 221","Open","10","0","Abdel-Malek, Layek","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93600","Honors Course"
"202590","IE447","LEGAL ASPECTS OF ENGINEERING","451","93601","","TBA"," ","Open","40","39","Avoryie, Abigail","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93601","Online Course"
"202590","IE447","LEGAL ASPECTS OF ENGINEERING","453","93602","","TBA"," ","Closed","40","40","Avoryie, Abigail","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93602","Online Course"
"202590","IE455","ROBOTICS & PROG LOGIC CONTROL","001","93603","M","1:00 PM - 5:20 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93603","Cancelled 07/15/25"
"202590","IE455","ROBOTICS & PROG LOGIC CONTROL","003","96960","M","1:00 PM - 5:20 PM","GITC 2310","Closed","20","20","Aristilde, Evens","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96960",""
"202590","IE461","PRODUCT QUALITY ASSURANCE","101","93604","W","6:00 PM - 8:50 PM","GITC 2311","Open","20","18","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93604",""
"202590","IE480","STUDIES IN IE-NON MAJORS","451","96937","","TBA"," ","Cancelled","1","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96937","Cancelled 09/01/25"
"202590","IE481","INVSTGTNS IN INDS ENGR I","361","93605","","TBA"," ","Open","19","0","Barak Ventura, Roni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93605","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","362","93606","","TBA"," ","Open","19","0","Yin, Wei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93606","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","390","93607","","TBA"," ","Open","19","1","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93607","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","391","93608","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93608","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","392","93609","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93609","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","394","93610","","TBA"," ","Open","19","0","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93610","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","400","93611","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93611","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","402","93612","","TBA"," ","Open","19","0","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93612","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","403","93613","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93613","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","407","93614","","TBA"," ","Open","19","0","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93614","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","462","93615","","TBA"," ","Open","19","0","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93615","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","486","93616","","TBA"," ","Open","19","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93616","See department for permission to enroll."
"202590","IE481","INVSTGTNS IN INDS ENGR I","487","93617","","TBA"," ","Open","19","0","Cai, Wenbo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93617","See department for permission to enroll."
"202590","IE492","ENGINEERING MANAGEMENT","101","93618","F","6:00 PM - 8:50 PM","CKB 317","Open","40","36","Desai, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93618",""
"202590","IE492","ENGINEERING MANAGEMENT","103","93619","T","6:00 PM - 8:50 PM"," ","Cancelled","40","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93619","Cancelled 05/13/25"
"202590","IE492","ENGINEERING MANAGEMENT","451","93620","","TBA"," ","Closed","30","30","Ranky, Paul","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93620","Online Course"
"202590","IE492","ENGINEERING MANAGEMENT","453","93621","","TBA"," ","Closed","40","40","Karnik, Ankush","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93621","Online Course"
"202590","IE492","ENGINEERING MANAGEMENT","455","93622","","TBA"," ","Closed","40","40","Karnik, Ankush","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93622","Online Course"
"202590","IE492","ENGINEERING MANAGEMENT","457","93623","","TBA"," ","Open","40","33","Abdou, George","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93623","Online Course"
"202590","IE492","ENGINEERING MANAGEMENT","459","93624","","TBA"," ","Closed","40","40","Ikhmeis, Sufian","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93624","Online Course"
"202590","IE492","ENGINEERING MANAGEMENT - HONORS","H01","93625","F","2:30 PM - 5:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93625","Cancelled 05/13/25"
"202590","IE590","GRAD CO-OP WORK EXPERIENCE I","400","93626","","TBA"," ","Open","19","1","Abdou, George","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93626","See department for permission to enroll."
"202590","IE591","GRAD CO-OP WORK EXPERIENCE II","400","93627","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93627","See department for permission to enroll."
"202590","IE592","GRAD CO-OP WORK EXPERIENCE III","400","93628","","TBA"," ","Open","19","1","Abdou, George","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93628","See department for permission to enroll."
"202590","IE604","ADVANCED ENGINEERNG STAT","101","93629","R","6:00 PM - 8:50 PM","GITC 2305","Open","30","8","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93629",""
"202590","IE618","ENGR COST & PRODUC ECONO","101","93630","F","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93630","Cancelled 04/03/25"
"202590","IE621","SYST ANALYSIS & SIMULATN","101","93631","M","6:00 PM - 8:50 PM","GITC 2305","Open","30","5","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93631",""
"202590","IE650","ADV TOPICS OPER RES","101","93632","T","6:00 PM - 8:50 PM","GITC 2305","Open","30","8","Cai, Wenbo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93632",""
"202590","IE659","SUPPLY CHAIN ENGINEERING","101","93633","M","6:00 PM - 8:50 PM","KUPF 106","Open","30","26","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93633",""
"202590","IE659","SUPPLY CHAIN ENGINEERING","851","93634","","TBA"," ","Open","30","14","Das, Sanchoy","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93634","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","IE665","APPLIED INDUSTRIAL ERGONOMICS","101","93635","M","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93635","Cancelled 08/12/25"
"202590","IE673","TOTAL QUALITY MANAGEMENT","101","93636","T","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93636","Cancelled 05/13/25"
"202590","IE673","TOTAL QUALITY MANAGEMENT","103","93637","R","6:00 PM - 8:50 PM","GITC 2400","Open","30","7","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93637",""
"202590","IE673","TOTAL QUALITY MANAGEMENT","851","93638","","TBA"," ","Open","29","28","Gillespie, Cowander","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93638","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","IE673","TOTAL QUALITY MANAGEMENT","853","93639","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93639","Cancelled 04/01/25"
"202590","IE681","INTERD SEM-OCCUP SAFTY/HEAL","001","93640","W","9:15 AM - 11:15 AM"," ","Closed","0","0","Sengupta, Arijit","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93640","Course offered at NYU<br />For OSHE students only"
"202590","IE685","SYSTEMS SAFETY","101","93641","W","6:00 PM - 8:50 PM","CKB 226","Open","30","11","Olsen, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93641",""
"202590","IE686","INTRO TO HEALTHCARE SYSTEMS","851","93642","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93642","Cancelled 04/03/25"
"202590","IE700B","MASTER'S PROJECT","361","93643","","TBA"," ","Open","19","0","Barak Ventura, Roni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93643","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","362","93644","","TBA"," ","Open","19","0","Yin, Wei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93644","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","390","93645","","TBA"," ","Open","19","0","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93645","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","391","93646","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93646","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","392","93647","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93647","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","394","93648","","TBA"," ","Open","19","0","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93648","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","400","93649","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93649","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","402","93650","","TBA"," ","Open","19","0","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93650","See department for permission to enroll."
"202590","IE700B","MASTER'S PROJECT","403","93651","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93651","See department for permission to enroll."
