"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","IS117","INTRO TO WEBSITE DEVELOPMENT","001","93746","TR","1:00 PM - 2:20 PM","CKB 226","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93746","Students must bring their own device for this section."
"202590","IS117","INTRO TO WEBSITE DEVELOPMENT","003","93747","MW","11:30 AM - 12:50 PM","CKB 320","Closed","35","35","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93747","Students must bring their own device for this section."
"202590","IS117","INTRO TO WEBSITE DEVELOPMENT","005","93748","TR","10:00 AM - 11:20 AM","CKB 215","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93748","Students must bring their own device for this section."
"202590","IS117","INTRO TO WEBSITE DEVELOPMENT","007","93749","MR","2:30 PM - 3:50 PM","CKB 219","Closed","35","35","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93749","Students must bring their own device for this section."
"202590","IS218","BUILDING WEB APPLICATIONS","001","93750","TF","2:30 PM - 3:50 PM","CKB 313","Open","35","28","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93750","Students must bring their own device for this section."
"202590","IS218","BUILDING WEB APPLICATIONS","003","93751","MR","2:30 PM - 3:50 PM","CKB 320","Closed","35","35","Licciardello, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93751","Students must bring their own device for this section."
"202590","IS219","ADV WEBSITE DEVELOPMENT","FHS","96838","","","","Closed","0","39","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96838","For Freehold High School Students Only"
"202590","IS247","DESIGNING THE USER EXPERIENCE","001","93752","TF","1:00 PM - 2:20 PM","CKB G-08","Open","30","21","Jones, Quentin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93752",""
"202590","IS247","DESIGNING THE USER EXPERIENCE","003","93753","TF","2:30 PM - 3:50 PM","CKB G-08","Open","30","21","Jones, Quentin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93753",""
"202590","IS247","DESIGNING THE USER EXPERIENCE","005","93754","TF","10:00 AM - 11:20 AM","CKB 315","Open","30","24","Jones, Quentin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93754",""
"202590","IS247","DESIGNING THE USER EXPERIENCE","007","93755","MW","1:00 PM - 2:20 PM","CKB G-08","Closed","25","25","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93755",""
"202590","IS247","DESIGNING THE USER EXPERIENCE","009","93756","TR","4:00 PM - 5:20 PM","FMH 403","Open","30","24","Wohn, D.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93756",""
"202590","IS247","DESIGNING THE USER EXPERIENCE - HONORS","HM1","93757","MW","1:00 PM - 2:20 PM","CKB G-08","Closed","5","5","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93757","Honors Course"
"202590","IS257","DESIGN THINKING","001","96321","TR","10:00 AM - 11:20 AM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96321","Cancelled 03/27/25"
"202590","IS257","DESIGN THINKING: ADDRESSING STRUCTURAL INEQUALITY - HONORS","H01","93758","TR","10:00 AM - 11:20 AM","KUPF 205","Open","35","21","Lee, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93758","Honors Course"
"202590","IS265","INTRO TO INFORMATION SYSTEMS","001","93759","MW","8:30 AM - 9:50 AM","CKB 219","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93759",""
"202590","IS265","INTRO TO INFORMATION SYSTEMS","101","93760","R","6:00 PM - 8:50 PM","CKB 206","Open","35","33","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93760",""
"202590","IS265","INTRO TO INFORMATION SYSTEMS","103","93761","T","6:00 PM - 8:50 PM","CKB 219","Open","35","31","Arroyo, Angela","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93761",""
"202590","IS331","DATABASE DESIGN, MGMT & APPL","001","93762","TR","4:00 PM - 5:20 PM","FMH 207","Closed","40","40","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93762","Students must bring their own device for this section."
"202590","IS331","DATABASE DESIGN, MGMT & APPL","003","93763","MW","1:00 PM - 2:20 PM","CKB 313","Open","35","34","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93763","Students must bring their own device for this section."
"202590","IS331","DATABASE DESIGN, MGMT & APPL","451","93764","","TBA"," ","Closed","35","35","Hendela, Arthur","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93764","Online Course"
"202590","IS331","DATABASE DESIGN, MGMT & APPL","453","93765","","TBA"," ","Closed","30","33","Lin, Lin","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93765","Online Course"
"202590","IS333","SOCIAL NETWORK ANALYSIS","001","93766","W","8:30 AM - 11:20 AM","KUPF 204","Open","35","34","Ton, That Khiem","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93766",""
