"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","001","94084","MR","1:00 PM - 2:20 PM","CKB 114","Closed","30","30","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94084",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","003","94085","MR","10:00 AM - 11:20 AM","TIER 114","Closed","33","33","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94085",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","005","94086","MW","1:00 PM - 2:20 PM","TIER 114","Closed","33","33","Giannoglou, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94086",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","009","94087","TF","4:00 PM - 5:20 PM","CKB 207","Open","30","28","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94087",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","011","94088","TR","2:30 PM - 3:50 PM","CULM LECT 1","Open","60","59","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94088",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","013","94089","TR","2:30 PM - 3:50 PM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94089","Cancelled 08/24/25"
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","101","94090","M","6:00 PM - 8:50 PM","CKB 120","Open","35","30","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94090",""
"202590","IT101","INTRO TO INFORMTN TECHNOLGY","103","94091","R","6:00 PM - 8:50 PM","FMH 306","Closed","35","35","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94091",""
"202590","IT114","ADV PROGRAM FOR INFOR TECH","001","94092","TR","4:00 PM - 5:20 PM","GITC 3600","Open","35","33","Halper, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94092","Students must bring their own device for this section."
"202590","IT114","ADV PROGRAM FOR INFOR TECH","003","94093","TR","11:30 AM - 12:50 PM","KUPF 105","Closed","35","35","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94093","Students must bring their own device for this section."
"202590","IT114","ADV PROGRAM FOR INFOR TECH","005","94094","MW","1:00 PM - 2:20 PM","FMH 203","Closed","35","35","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94094","Students must bring their own device for this section."
