"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MARC701B","MASTER'S THESIS","002","94202","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94202","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","003","94203","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94203","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","004","94204","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94204","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","011","94205","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94205","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","020","94206","","TBA"," ","Open","19","0","Schuman, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94206","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","032","94207","","TBA"," ","Open","19","0","Bartle, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94207","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","035","94208","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94208","See department for permission to enroll."
"202590","MARC701B","MASTER'S THESIS","037","94209","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94209","See department for permission to enroll."
"202590","MARC701C","MASTER'S THESIS","002","94210","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94210","See department for permission to enroll."
"202590","MARC701C","MASTER'S THESIS","005","94211","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94211","See department for permission to enroll."
"202590","MARC701C","MASTER'S THESIS","037","94212","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94212","See department for permission to enroll."
