"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MATH101","FOUNDATIONS OF MATH LIB ARTS","001","94213","MR","2:30 PM - 3:50 PM","KUPF 106","Closed","40","41","Theodore, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94213",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","001","94214","TR","11:30 AM - 12:50 PM","CKB 330","Closed","37","37","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94214",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","003","94215","TF","4:00 PM - 5:20 PM","CKB 330","Closed","37","37","Salters, Caroline","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94215",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","005","94216","MR","10:00 AM - 11:20 AM","CKB 317","Closed","37","37","Nair, Sudha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94216",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","007","94217","TR","4:00 PM - 5:20 PM","CKB 317","Closed","37","38","Gupta, Shalini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94217",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","009","94218","MR","2:30 PM - 3:50 PM","CKB 330","Closed","37","37","Pole, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94218",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","011","94219","TR","2:30 PM - 3:50 PM","KUPF 108","Closed","37","37","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94219",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","013","94220","TR","1:00 PM - 2:20 PM","KUPF 108","Closed","37","38","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94220",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","101","94221","M","6:00 PM - 8:50 PM","TIER 108","Open","37","36","Hercules-Menjivar, Manuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94221",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","103","94222","W","6:00 PM - 8:50 PM","CKB 219","Closed","37","37","Kariuki, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94222",""
"202590","MATH105","ELEM PROBABILITY & STATISTICS","BCT","96991","","","","Closed","0","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96991","For Bergen County Technical School Students Only"
