"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MECH234","ENGINEERING MECHANICS","001","94700","T","10:00 AM - 12:05 PM"," ","Cancelled","70","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94700","Cancelled 07/29/25"
"202590","MECH234","ENGINEERING MECHANICS","003","94701","M","11:30 AM - 1:35 PM"," ","Cancelled","70","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94701","Cancelled 07/29/25"
"202590","MECH234","ENGINEERING MECHANICS","005","96901","T","10:00 AM - 12:50 PM","KUPF 210","Closed","80","80","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96901","Hybrid Course<br />See syllabus for all F2F meeting information.<br />This course has common exams<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","MECH234","ENGINEERING MECHANICS","007","96902","M","11:30 AM - 2:20 PM","KUPF 118","Open","80","74","Saadeghvaziri, Mohamad","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96902","Hybrid Course<br />See syllabus for all F2F meeting information.<br />This course has common exams<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","MECH234","ENGINEERING MECHANICS - HONORS","HM1","94702","M","11:30 AM - 1:35 PM"," ","Cancelled","10","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94702","Cancelled 07/29/25"
"202590","MECH234","ENGINEERING MECHANICS - HONORS","HM3","96903","M","11:30 AM - 2:20 PM","KUPF 118","Closed","10","10","Saadeghvaziri, Mohamad","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96903","Honors Course<br />Hybrid Course<br />See syllabus for all F2F meeting information.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","MECH235","STATICS","001","94703","MW","10:00 AM - 11:20 AM","CULM LECT 2","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94703","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH235","STATICS","001","94703","W","1:00 PM - 2:00 PM","CKB 220","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94703","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH235","STATICS","003","94704","MW","10:00 AM - 11:20 AM","CULM LECT 2","Closed","40","40","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94704","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH235","STATICS","003","94704","W","11:30 AM - 12:30 PM","CKB 317","Closed","40","40","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94704","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH236","DYNAMICS","001","94705","R","11:30 AM - 1:35 PM","TIER 114","Closed","30","30","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94705","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH236","DYNAMICS","003","94706","T","1:00 PM - 3:05 PM","MALL PC40","Closed","30","30","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94706","Hybrid Course<br />See syllabus for all F2F meeting information."
"202590","MECH236","DYNAMICS","005","94707","T","3:15 PM - 5:20 PM","CKB 320","Open","30","29","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94707","Hybrid Course<br />See syllabus for all F2F meeting information."
