"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","ME215","ENGR MATERLS & PROCESSES","001","94457","F","1:45 PM - 3:50 PM","ME 232","Open","30","28","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94457","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","001","94457","M","8:30 AM - 10:35 AM","FMH 108","Open","30","28","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94457","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","003","94458","M","11:30 AM - 1:35 PM","FMH 310","Closed","24","24","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94458","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","003","94458","T","1:00 PM - 3:05 PM","ME 232","Closed","24","24","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94458","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","005","94459","R","10:45 AM - 12:50 PM","ME 232","Closed","30","30","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94459","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","005","94459","R","8:30 AM - 10:35 AM","FMH 307","Closed","30","30","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94459","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","007","94460","T","10:00 AM - 12:05 PM","KUPF 207","Closed","18","18","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94460","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","007","94460","W","10:00 AM - 12:05 PM","ME 232","Closed","18","18","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94460","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","009","94461","F","9:15 AM - 11:20 AM","ME 232","Closed","21","21","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94461","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","009","94461","T","10:00 AM - 12:05 PM","KUPF 207","Closed","21","21","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94461","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","101","94462","T","6:00 PM - 7:55 PM","FMH 305","Closed","30","30","Reddy, Trivikrama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94462","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","101","94462","T","8:05 PM - 10:00 PM","ME 232","Closed","30","30","Reddy, Trivikrama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94462","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","103","94463","W","6:00 PM - 7:55 PM","FMH 305","Closed","30","30","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94463","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES","103","94463","W","8:05 PM - 10:00 PM","ME 232","Closed","30","30","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94463","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES - HONORS","HM1","94464","M","11:30 AM - 1:35 PM","FMH 310","Closed","3","3","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94464","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES - HONORS","HM1","94464","T","1:00 PM - 3:05 PM","ME 232","Closed","3","3","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94464","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES - HONORS","HM3","94465","T","10:00 AM - 12:05 PM","KUPF 207","Closed","6","6","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94465","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","ME215","ENGR MATERLS & PROCESSES - HONORS","HM3","94465","W","10:00 AM - 12:05 PM","ME 232","Closed","6","6","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94465","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202590","ME231","KINEMATICS OF MACHINERY","001","94466","WF","1:00 PM - 2:20 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94466","Cancelled 04/10/25"
"202590","ME231","KINEMATICS OF MACHINERY","003","94467","TR","4:00 PM - 5:20 PM","ME 224","Closed","43","55","Glick, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94467",""
"202590","ME231","KINEMATICS OF MACHINERY","101","94468","W","6:00 PM - 8:50 PM","KUPF 210","Open","43","42","Fischer, Ian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94468",""
