"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MET103","INTRO TO ET DESIGN","001","94719","T","11:30 AM - 2:20 PM","MALL PC36","Open","25","23","Rahman, Sahidur","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94719",""
"202590","MET103","INTRO TO ET DESIGN","003","94720","R","2:30 PM - 5:20 PM","MALL PC36","Closed","25","25","Sodhi, Jaskirat","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94720",""
"202590","MET103","INTRO TO ET DESIGN","005","94721","F","8:30 AM - 11:20 AM","MALL PC36","Closed","25","25","Beshay, Joseph","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94721",""
"202590","MET103","INTRO TO ET DESIGN","007","94722","W","8:30 AM - 11:20 AM","FENS 160","Closed","25","25","Visakay, Alexander","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94722",""
"202590","MET103","INTRO TO ET DESIGN","009","94723","F","1:00 PM - 3:50 PM","FENS 160","Closed","25","25","Rodriguez, Max","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94723",""
"202590","MET103","INTRO TO ET DESIGN","011","96899","F","8:30 AM - 11:20 AM","MALL PC40","Open","25","24","Jaiswal, Suman","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96899",""
"202590","MET103","INTRO TO ET DESIGN","101","94724","R","6:00 PM - 8:50 PM","MALL PC37","Closed","25","25","Rodriguez, Max","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94724",""
"202590","MET103","INTRO TO ET DESIGN","103","94725","M","6:00 PM - 8:50 PM","MALL PC37","Closed","25","25","Lanfrank, Mark","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94725",""
"202590","MET103","INTRO TO ET DESIGN","105","94726","W","6:00 PM - 8:50 PM","GITC 2302","Open","25","24","Orlos, Daniel","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94726",""
"202590","MET103","INTRO TO ET DESIGN","DBP","96883","","","","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96883","For Don Bosco Preparatory High School Students Only"
"202590","MET103","INTRO TO ET DESIGN","EST","96884","","","","Closed","0","16","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96884","For Essex School of Technology Students Only"
