"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94756","MW","1:00 PM - 2:20 PM","CKB 124","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94756","Students must bring their own device for this section."
"202590","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94756","R","10:00 AM - 12:05 PM","KUPF 204","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94756","Students must bring their own device for this section."
"202590","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94757","M","12:15 PM - 2:20 PM","KUPF 204","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94757","Students must bring their own device for this section."
"202590","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94757","TR","2:30 PM - 3:50 PM","CKB 124","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94757","Students must bring their own device for this section."
"202590","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","BCT","96999","","","","Closed","0","4","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96999","For Bergen County Technical School Students Only"
"202590","MGMT190","INTRODUCTION TO BUSINESS","001","94758","WF","10:00 AM - 11:20 AM","KUPF 104","Open","43","42","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94758",""
"202590","MGMT190","INTRODUCTION TO BUSINESS","003","94759","MW","1:00 PM - 2:20 PM","KUPF 108","Open","43","42","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94759",""
"202590","MGMT190","INTRODUCTION TO BUSINESS","005","94760","MW","8:30 AM - 9:50 AM","KUPF 208","Open","43","40","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94760",""
"202590","MGMT190","INTRODUCTION TO BUSINESS","101","94761","M","6:00 PM - 8:50 PM","KUPF 208","Open","43","42","Roman, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94761",""
"202590","MGMT190","INTRODUCTION TO BUSINESS","103","94762","R","6:00 PM - 8:50 PM","KUPF 207","Open","43","38","Roman, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94762",""
"202590","MGMT190","INTRODUCTION TO BUSINESS","MSE","96844","","","","Closed","0","14","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96844","For The Academy for Math Science & Engineering Students Only"
"202590","MGMT216","BUSINESS DATA ANALYTICS","001","94763","TR","8:30 AM - 9:50 AM","KUPF 203","Closed","43","43","Gupta, Shubham","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94763","Students must bring their own device for this section."
