"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MRKT330","PRINCIPLES OF MARKETING","001","94847","TR","4:00 PM - 5:20 PM","KUPF 202","Closed","33","33","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94847",""
"202590","MRKT330","PRINCIPLES OF MARKETING","101","94848","M","6:00 PM - 8:50 PM","KUPF 209","Open","43","29","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94848",""
"202590","MRKT330","PRINCIPLES OF MARKETING","451","94849","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94849","Online Course"
"202590","MRKT330","PRINCIPLES OF MARKETING","453","94850","","TBA"," ","Closed","30","30","Punyatoya, Plavini","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94850","Online Course"
"202590","MRKT330","PRINCIPLES OF MARKETING","455","94851","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94851","Online Course"
"202590","MRKT330","PRINCIPLES OF MARKETING","457","94852","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94852","Online Course"
"202590","MRKT330","PRINCIPLES OF MARKETING - HONORS","HM1","94853","TR","4:00 PM - 5:20 PM","KUPF 202","Open","10","9","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94853","Honors Course"
"202590","MRKT331","CUSTOMER INSIGHTS","451","94854","","TBA"," ","Closed","30","30","Elowitz, Ronald","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94854","Online Course"
"202590","MRKT339","SELLING","101","94855","T","6:00 PM - 8:50 PM","TIER LECT 1","Open","43","22","Aziz, Summaya","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94855",""
"202590","MRKT360","DIGITAL MARKETING","001","94856","MW","8:30 AM - 9:50 AM","CKB 124","Open","43","31","Punyatoya, Plavini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94856",""
"202590","MRKT378","MARKETING ANALYTICS","101","94857","R","6:00 PM - 8:50 PM","FMH 106","Open","43","16","Olotewo, Akpesiri","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94857",""
"202590","MRKT470","DATA-DRIVEN MKTG DEC MAKING","001","94858","TR","4:00 PM - 5:20 PM","CKB 124","Open","43","11","Zhang, Haisu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94858",""
"202590","MRKT620","GLOBAL MARKETING MANAGEMENT","851","94859","","TBA"," ","Open","30","29","Mehta, Rajiv","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94859","Online Course<br />Newark and Virtual Campus Students"
"202590","MRKT632","STRATEGIC MRKT MANAGEMENT","101","94860","T","6:00 PM - 8:50 PM","KUPF 107","Open","43","25","Zhang, Haisu","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94860","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/2/2025"
"202590","MRKT632","STRATEGIC MRKT MANAGEMENT","851","94861","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94861","Cancelled 07/22/25"
"202590","MRKT632","STRATEGIC MRKT MANAGEMENT","853","94862","","TBA"," ","Open","30","15","Thomas, Ellen","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94862","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","MRKT632","STRATEGIC MRKT MANAGEMENT","855","94863","","TBA"," ","Closed","30","30","Thomas, Ellen","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94863","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","MRKT636","DES/DEV HIGH TECH PROD","851","94864","","TBA"," ","Open","30","29","Roy, Raja","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94864","Open to Newark and Virtual Campus Students<br />Online Course"
"202590","MRKT725","INDEPENDENT STUDY","937","96748","","TBA"," ","Open","19","1","Somers, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96748","See department for permission to enroll."
