"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MTEN201","INTRO PRINC OF MATERIAL ENGR","001","94865","MF","10:00 AM - 11:20 AM","FMH 413","Closed","15","15","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94865",""
"202590","MTEN201","INTRO PRINC OF MATERIAL ENGR","003","94866","MF","10:00 AM - 11:20 AM","FMH 313","Open","30","23","Molodetsky, Irina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94866",""
"202590","MTEN201","INTRO PRINC OF MATERIAL ENGR- HONORS","HM1","94867","MF","10:00 AM - 11:20 AM","FMH 413","Open","10","9","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94867","Honors Course"
"202590","MTEN301","THERMODYNAMICS OF MATERIALS","001","94868","TR","4:00 PM - 5:20 PM","FMH 407","Open","30","10","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94868",""
"202590","MTEN305","MATERIALS CHARACT METHODS","001","94869","F","1:00 PM - 3:05 PM","TIER 007A","Open","30","11","Dreyzin, Edward","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94869",""
"202590","MTEN305","MATERIALS CHARACT METHODS","001","94869","W","11:30 AM - 2:20 PM","TIER 109","Open","30","11","Dreyzin, Edward","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94869",""
"202590","MTEN309","EOMT PROP. MATER.","001","94870","M","1:00 PM - 3:05 PM","TIER 007A","Open","30","5","Molodetsky, Irina","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94870",""
"202590","MTEN309","EOMT PROP. MATER.","001","94870","TR","10:00 AM - 11:20 AM","FMH 309","Open","30","5","Molodetsky, Irina","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94870",""
"202590","MTEN410","SOFT MATERIALS","101","94871","W","6:00 PM - 8:50 PM","FMH 412","Open","30","2","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94871",""
"202590","MTEN449","MATER. DESIGN I","001","94872","F","1:00 PM - 5:20 PM","TIER 411B","Open","30","2","Guvendiren, Murat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94872",""
"202590","MTEN449","MATER. DESIGN I","001","94872","T","1:00 PM - 3:05 PM","TIER 411B","Open","30","2","Guvendiren, Murat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94872",""
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","061","94873","","TBA"," ","Open","19","0","Kumar, Vivek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94873","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","071","94874","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94874","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","079","94875","","TBA"," ","Open","19","0","Buffone, Alexander","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94875","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","080","94876","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94876","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","081","94877","","TBA"," ","Open","19","0","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94877","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","082","94878","","TBA"," ","Open","19","0","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94878","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","083","94879","","TBA"," ","Open","19","0","Cimino, Rich","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94879","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","085","94880","","TBA"," ","Open","19","0","Young, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94880","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","086","94881","","TBA"," ","Open","19","0","Molodetsky, Irina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94881","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","087","94882","","TBA"," ","Open","19","0","Sebastian, Donald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94882","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","088","94883","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94883","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","089","94884","","TBA"," ","Open","19","0","Zhao, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94884","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","090","94885","","TBA"," ","Open","19","0","Ghalei, Behnam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94885","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","091","94886","","TBA"," ","Open","19","0","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94886","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","093","94887","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94887","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","102","94888","","TBA"," ","Open","19","0","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94888","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","103","94889","","TBA"," ","Open","19","0","Tuchinda, Nutth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94889","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","111","94890","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94890","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","114","94891","","TBA"," ","Open","19","0","Schoenitz, Mirko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94891","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","119","94892","","TBA"," ","Open","19","0","Wang, Xianqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94892","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","145","94893","","TBA"," ","Open","19","0","Venerus, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94893","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","148","94894","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94894","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","158","94895","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94895","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","182","94896","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94896","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","198","94897","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94897","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","210","94898","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94898","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","212","94899","","TBA"," ","Open","19","0","Voronov, Roman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94899","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","214","94900","","TBA"," ","Open","19","0","Gor, Gennady","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94900","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","217","94901","","TBA"," ","Open","19","0","Guvendiren, Murat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94901","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","445","94902","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94902","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","486","94903","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94903","See department for permission to enroll."
"202590","MTEN491","RESEARCH & INDEPENDENT STUDY I","487","94904","","TBA"," ","Open","19","0","Dreyzin, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94904","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","061","94905","","TBA"," ","Open","19","0","Kumar, Vivek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94905","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","071","94906","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94906","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","079","94907","","TBA"," ","Open","19","0","Buffone, Alexander","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94907","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","080","94908","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94908","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","081","94909","","TBA"," ","Open","19","0","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94909","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","082","94910","","TBA"," ","Open","19","0","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94910","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","083","94911","","TBA"," ","Open","19","0","Cimino, Rich","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94911","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","085","94912","","TBA"," ","Open","19","0","Young, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94912","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","086","94913","","TBA"," ","Open","19","0","Molodetsky, Irina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94913","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","087","94914","","TBA"," ","Open","19","0","Sebastian, Donald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94914","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","088","94915","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94915","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","089","94916","","TBA"," ","Open","19","0","Zhao, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94916","See department for permission to enroll."
"202590","MTEN492","RESRCH AND INDPENDENT STUDY II","090","94917","","TBA"," ","Open","19","0","Ghalei, Behnam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94917","See department for permission to enroll."
