"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","PE115","STRNGTH TRNING & CONDING","001","95161","W","1:00 PM - 2:20 PM","WEC FITCENTR","Closed","15","15","Greely, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95161",""
"202590","PE115","STRNGTH TRNING & CONDING","003","95971","TR","8:30 AM - 9:50 AM","WEC FITCENTR","Closed","15","15","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95971","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE115","STRNGTH TRNING & CONDING","005","95972","TR","11:30 AM - 12:50 PM","WEC FITCENTR","Closed","15","15","Ruela, Ariana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95972","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE115","STRNGTH TRNING & CONDING","007","95162","F","8:30 AM - 9:50 AM","WEC FITCENTR","Closed","15","15","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95162",""
"202590","PE115","STRNGTH TRNING & CONDING","009","95163","W","11:30 AM - 12:50 PM","WEC FITCENTR","Closed","15","15","Lott, Jacqueline","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95163",""
"202590","PE117","JOGGING","001","95973","TR","1:00 PM - 2:20 PM","WEC TRACK","Closed","15","16","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95973","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE118","WALKING","001","95986","TR","1:00 PM - 2:20 PM","DHRH FIT","Closed","15","15","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95986","Class meets last half of semester ( 10/22/25-12/20/25)"
"202590","PE129","INDIVIDUALIZED FITNESS","001","95164","M","4:00 PM - 5:20 PM","WEC FITCENTR","Open","20","19","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95164",""
"202590","PE129","INDIVIDUALIZED FITNESS","003","95974","MW","10:00 AM - 11:20 AM","WEC FITCENTR","Closed","15","15","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95974","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE129","INDIVIDUALIZED FITNESS","005","95975","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Closed","15","15","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95975","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE129","INDIVIDUALIZED FITNESS","007","95976","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Closed","15","15","Reilly, Daniel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95976","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE129","INDIVIDUALIZED FITNESS","009","95977","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Closed","15","16","Uy, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95977","Class meets first half of semester (9/2/25-10/21/25)"
"202590","PE129","INDIVIDUALIZED FITNESS","101","95165","M","6:00 PM - 7:20 PM","WEC FITCENTR","Closed","15","15","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95165",""
"202590","PE129","INDIVIDUALIZED FITNESS","103","95166","W","6:00 PM - 7:20 PM","WEC FITCENTR","Open","15","13","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95166",""
"202590","PE133","SWIM FOR HEALTH","001","95167","T","10:00 AM - 11:20 AM","WEC POOL","Open","12","11","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95167",""
"202590","PE133","SWIM FOR HEALTH","003","95168","T","11:30 AM - 12:50 PM"," ","Cancelled","12","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95168","Cancelled 08/14/25"
"202590","PE135","BEGINNING SWIMMING","001","95169","R","10:00 AM - 11:20 AM","WEC POOL","Open","10","9","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95169",""
"202590","PE136","INTRO TO KARATE","101","95170","T","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","13","Kim, Charles","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95170",""
"202590","PE136","INTRO TO KARATE","103","95171","R","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","14","Kim, Charles","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95171",""
"202590","PE139","INDIVIDUALIZED FITNESS II","001","95172","","TBA","WEC FITCENTR","Closed","0","0","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95172","Department permission required"
"202590","PE139","INDIVIDUALIZED FITNESS II","003","95987","MW","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","14","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95987","Class meets last half of semester ( 10/22/25-12/20/25)"
"202590","PE139","INDIVIDUALIZED FITNESS II","005","95988","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","20","5","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95988","Class meets last half of semester ( 10/22/25-12/20/25)"
"202590","PE139","INDIVIDUALIZED FITNESS II","007","95989","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","20","6","Reilly, Daniel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95989","Class meets last half of semester ( 10/22/25-12/20/25)"
"202590","PE139","INDIVIDUALIZED FITNESS II","009","95990","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","15","7","Uy, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95990","Class meets last half of semester ( 10/22/25-12/20/25)"
