"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","PHEN590","GRADUATE CO-OP WORK EXPER I","084","95192","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95192","See department for permission to enroll."
"202590","PHEN591","GRADUATE CO-OP WORK EXPER II","084","95193","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95193","See department for permission to enroll."
"202590","PHEN592","GRADUATE CO-OP WORK EXPER III","084","95194","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95194","See department for permission to enroll."
"202590","PHEN593","GRADUATE CO-OP WORK EXP IV","084","95195","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95195","See department for permission to enroll."
"202590","PHEN601","PRINC OF PHARMCTCL ENGR","101","95196","T","6:00 PM - 8:50 PM","FMH 409","Open","30","15","Bernhardt, Marc","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95196",""
"202590","PHEN602","PHARMACEUTICAL FACILITY DESIGN","101","95197","F","6:00 PM - 8:50 PM","TIER 108","Open","30","6","Lechich, Robert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95197",""
"202590","PHEN603","PHARM UNIT OPER:LIQ&DISP SYS","101","95198","M","6:00 PM - 8:50 PM","FMH 409","Open","30","4","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95198",""
"202590","PHEN700B","MASTER'S PROJECT","090","95199","","TBA"," ","Open","19","0","Ghalei, Behnam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95199","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","070","95200","","TBA"," ","Open","19","0","Collins, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95200","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","071","95201","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95201","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","080","95202","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95202","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","088","95203","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95203","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","090","95204","","TBA"," ","Open","19","0","Ghalei, Behnam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95204","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","093","95205","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95205","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","103","95206","","TBA"," ","Open","19","0","Tuchinda, Nutth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95206","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","111","95207","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95207","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","116","95208","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95208","See department for permission to enroll."
"202590","PHEN701B","MASTER'S THESIS","119","95209","","TBA"," ","Open","19","0","Wang, Xianqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95209","See department for permission to enroll."
