"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","PHIL334","ENGINEERING ETHICS","001","95227","MW","11:30 AM - 12:50 PM","FMH 307","Closed","32","33","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95227",""
"202590","PHIL334","ENGINEERING ETHICS","003","95228","MW","8:30 AM - 9:50 AM","FMH 310","Closed","32","32","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95228",""
"202590","PHIL334","ENGINEERING ETHICS","005","95229","TF","1:00 PM - 2:20 PM","FMH 310","Closed","32","32","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95229",""
"202590","PHIL334","ENGINEERING ETHICS","007","95230","TR","4:00 PM - 5:20 PM","CKB 222","Open","32","30","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95230",""
"202590","PHIL334","ENGINEERING ETHICS","009","95231","MW","1:00 PM - 2:20 PM","FMH 307","Closed","32","32","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95231",""
"202590","PHIL334","ENGINEERING ETHICS","011","95232","MW","11:30 AM - 12:50 PM","FMH 313","Closed","32","32","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95232",""
"202590","PHIL334","ENGINEERING ETHICS","013","95233","TF","2:30 PM - 3:50 PM","CKB 215","Closed","32","32","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95233",""
"202590","PHIL334","ENGINEERING ETHICS","015","95234","MW","11:30 AM - 12:50 PM","FMH 309","Closed","32","32","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95234",""
"202590","PHIL334","ENGINEERING ETHICS","017","95235","MW","10:00 AM - 11:20 AM","FMH 309","Open","32","31","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95235",""
"202590","PHIL334","ENGINEERING ETHICS","019","95236","MW","1:00 PM - 2:20 PM","FMH 313","Closed","32","32","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95236",""
"202590","PHIL334","ENGINEERING ETHICS","021","95237","TR","11:30 AM - 12:50 PM","FMH 310","Closed","32","32","Leli, Tyler","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95237",""
"202590","PHIL334","ENGINEERING ETHICS","023","95238","TF","10:00 AM - 11:20 AM","FMH 307","Closed","32","32","Goncalves Leonel da Silva, Renan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95238",""
"202590","PHIL334","ENGINEERING ETHICS","101","95239","R","6:00 PM - 8:50 PM","FMH 307","Open","32","28","Heap, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95239",""
"202590","PHIL334","ENGINEERING ETHICS","451","95240","","TBA"," ","Open","30","29","Estrada, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95240","Online Course"
"202590","PHIL334","ENGINEERING ETHICS","453","95241","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95241","Online Course"
"202590","PHIL334","ENGINEERING ETHICS","455","95242","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95242","Online Course"
