"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","PHYS102","GENERAL PHYSICS I","001","95249","F","10:00 AM - 11:20 AM","KUPF 207","Closed","43","43","Kane, Steve","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95249","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","001","95249","W","11:30 AM - 12:50 PM","KUPF 210","Closed","43","43","Kane, Steve","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95249","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","003","95250","M","11:30 AM - 12:50 PM","KUPF 207","Open","43","42","Kane, Steve","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95250","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","003","95250","W","11:30 AM - 12:50 PM","KUPF 210","Open","43","42","Kane, Steve","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95250","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","005","95251","R","11:30 AM - 12:50 PM","KUPF 207","Closed","43","43","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95251","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","005","95251","T","1:00 PM - 2:20 PM","KUPF 210","Closed","43","43","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95251","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","007","95252","R","4:00 PM - 5:20 PM","KUPF 207","Open","43","42","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95252","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","007","95252","T","1:00 PM - 2:20 PM","KUPF 210","Open","43","42","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95252","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","009","95253","WF","8:30 AM - 9:50 AM","KUPF 207","Closed","43","44","Kane, Steve","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95253","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","101","95254","T","6:00 PM - 8:50 PM","KUPF 207","Closed","43","43","Stefan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95254","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","103","95255","M","6:00 PM - 8:50 PM","KUPF 108","Closed","43","43","Azizighannad, Samar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95255","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","105","95256","W","6:00 PM - 8:50 PM","KUPF 117","Open","43","42","Stefan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95256","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202590","PHYS102","GENERAL PHYSICS I","PTH","96851","","","","Closed","0","18","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96851","For Parsippany-Troy Hills High School Students Only"
"202590","PHYS102","GENERAL PHYSICS I","WMR","96852","","","","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96852","For West Morris Regional High School District Students Only"
"202590","PHYS102A","GENERAL PHYSICS I LAB","001","95257","R","3:15 PM - 5:20 PM","TIER 409","Closed","32","32","Singh, Anshika","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95257","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202590","PHYS102A","GENERAL PHYSICS I LAB","003","95258","F","9:15 AM - 11:20 AM","TIER 409","Closed","32","33","Singh, Anshika","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95258","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202590","PHYS102A","GENERAL PHYSICS I LAB","005","95259","F","1:00 PM - 3:05 PM","TIER 409","Open","32","31","Duan, Evan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95259","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202590","PHYS102A","GENERAL PHYSICS I LAB","007","95260","F","3:15 PM - 5:20 PM","TIER 409","Closed","32","32","Duan, Evan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95260","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202590","PHYS102A","GENERAL PHYSICS I LAB","009","95261","T","3:15 PM - 5:20 PM","TIER 409","Closed","32","32","Khaleghi, Artin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95261","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
