"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","PSY201","ORIENTATION PSYCH AS BEHAV SCI","001","95593","TF","1:00 PM - 2:20 PM","CKB 214","Open","24","16","Hyland Bruno, Julia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95593",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","001","95594","MW","8:30 AM - 9:50 AM","CKB 330","Open","40","39","DiLorenzo, Andreea","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95594",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","003","95595","MW","11:30 AM - 12:50 PM","CKB 106","Open","40","37","DiLorenzo, Andreea","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95595",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","005","95596","MR","1:00 PM - 2:20 PM","CKB 106","Open","40","35","Lyons, Delina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95596",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","007","95597","TF","4:00 PM - 5:20 PM","CKB 223","Open","40","18","Maret, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95597",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","009","95598","TF","1:00 PM - 2:20 PM","CKB 223","Open","40","38","Maret, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95598",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","011","95599","MW","11:30 AM - 12:50 PM","KUPF 203","Open","40","32","Lyons, Delina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95599",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","013","95600","WF","10:00 AM - 11:20 AM","CKB 120","Open","40","33","De La Cruz, Nurys","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95600",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","015","95601","TF","2:30 PM - 3:50 PM","KUPF 105","Open","40","27","Cohen, Kaitlin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95601",""
"202590","PSY210","INTRODUCTION TO PSYCHOLOGY","017","95602","TF","1:00 PM - 2:20 PM","CKB 106","Open","40","29","Cohen, Kaitlin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=95602",""
